Acura,ILX,2019,"24""","19"""
Acura,MDX,2019,"24""","20"""
Acura,NSX,2019,"24""","24"""
Acura,RDX,2019,"24""","18"""
Acura,RLX,2019,"24""","19"""
Acura,TLX,2019,"24""","17"""
Alfa Romeo,Giulia,2019,"24""","18"""
Alfa Romeo,Stelvio,2019,"26""","18"""
Audi,A3,2019,"26""","19"""
Audi,A3 Quattro,2019,"26""","19"""
Audi,A4,2019,"24""","20"""
Audi,A4 allroad,2019,"24""","20"""
Audi,A4 Quattro,2019,"24""","20"""
Audi,A8 Quattro,2019,"26""","20"""
Audi,Q5,2019,"24""","20"""
Audi,Q7,2019,"26""","20"""
Audi,Q8,2019,"26""","20"""
Audi,RS5,2019,"24""","20"""
Audi,RS5 Sportback,2019,"24""","20"""
Audi,S5,2019,"24""","20"""
Audi,S5 Sportback,2019,"24""","20"""
Audi,SQ5,2019,"24""","20"""
BMW,330i xDrive,2019,"24""","19"""
BMW,530e,2019,"26""","18"""
BMW,530e xDrive,2019,"26""","18"""
BMW,530i,2019,"26""","18"""
BMW,530i xDrive,2019,"26""","18"""
BMW,540i,2019,"26""","18"""
BMW,540i xDrive,2019,"26""","18"""
BMW,740e xDrive,2019,"26""","18"""
BMW,740i,2019,"26""","18"""
BMW,740i xDrive,2019,"26""","18"""
BMW,750i,2019,"26""","18"""
BMW,750i xDrive,2019,"26""","18"""
BMW,750Li xDrive,2019,"26""","18"""
BMW,i3,2019,"28""","21"""
BMW,i3s,2019,"28""","21"""
BMW,i8,2019,"28""","22"""
BMW,M2,2019,"22""","18"""
BMW,M4,2019,"24""","18"""
BMW,M5,2019,"24""","18"""
BMW,M760i xDrive,2019,"26""","18"""
BMW,M760Li xDrive,2019,"26""","18"""
BMW,M850i xDrive,2019,"26""","17"""
BMW,X5,2019,"26""","20"""
Buick,Cascada,2019,"26""","24"""
Buick,Enclave,2019,"24""","20"""
Buick,Envision,2019,"24""","18"""
Buick,LaCrosse,2019,"26""","18"""
Buick,Regal Sportback,2019,"24""","20"""
Buick,Regal TourX,2019,"24""","20"""
Cadillac,ATS,2019,"21""","18"""
Cadillac,CT6,2019,"22""","22"""
Cadillac,Escalade,2019,"22""","22"""
Cadillac,Escalade ESV,2019,"22""","22"""
Cadillac,XT4,2019,"22""","20"""
Cadillac,XT5,2019,"22""","22"""
Cadillac,XTS,2019,"24""","18"""
Chevrolet,Blazer,2019,"22""","18"""
Chevrolet,Bolt EV,2019,"26""","26"""
Chevrolet,Camaro,2019,"22""","20"""
Chevrolet,Colorado,2019,"21""","17"""
Chevrolet,Corvette,2019,"22""","20"""
Chevrolet,Equinox,2019,"22""","18"""
Chevrolet,Express 2500,2019,"22""","22"""
Chevrolet,Express 3500,2019,"22""","22"""
Chevrolet,Malibu,2019,"24""","18"""
Chevrolet,Silverado 1500,2019,"21""","21"""
Chevrolet,Silverado 1500 LD,2019,"22""","22"""
Chevrolet,Silverado 2500 HD,2019,"22""","22"""
Chevrolet,Silverado 6500 HD,2019,"22""","22"""
Chevrolet,Sonic,2019,"26""","14"""
Chevrolet,Spark,2019,"22""","14"""
Chevrolet,Suburban,2019,"22""","22"""
Chevrolet,Tahoe,2019,"22""","22"""
Chevrolet,Traverse,2019,"24""","20"""
Chevrolet,Trax,2019,"24""","14"""
Chevrolet,Volt,2019,"26""","26"""
Chrysler,300,2019,"22""","21"""
Chrysler,Pacifica,2019,"26""","20"""
Dodge,Challenger,2019,"21""","21"""
Dodge,Charger,2019,"22""","21"""
